Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Genotype,Treatment,Behavior
1.464290846,0.14700388,0.541169708,0.182353786,0.400464203,0.738180773,1.980025866,0.371605116,0.209783967,0.235136583,0.755043742,Ts65Dn,Saline,S/C
1.781572165,0.146101804,0.537532216,0.202158505,0.526506899,0.839561856,2.134342784,0.482603093,0.544662309,0.515371581,1.369644154,Control,Memantine,C/S
1.425710657,0.149848588,0.49037804,0.17436749,0.590302812,0.850151412,2.118882485,0.463417017,0.613554434,0.563806777,1.571737563,Control,Memantine,C/S
1.565795542,0.144119908,0.58716372,0.199000769,0.733510638,1.300076864,2.108993082,0.328439662,0.713297872,0.88856383,1.993218085,Ts65Dn,Memantine,C/S
1.054776318,0.134504651,0.375166101,0.128598848,0.727178325,0.679019637,1.978148531,0.431566514,2.088832248,2.201831398,4.942603606,Control,Saline,C/S
1.686744239,0.168720055,0.597421857,0.202600958,0.793003444,1.007757244,2.61749943,0.480949122,0.251948523,0.262642741,1.08845387,Control,Saline,S/C
1.400900901,0.13996724,0.383128583,0.142669943,0.688973522,0.942506143,1.8000819,0.396723997,0.417301415,0.524483134,1.738846572,Control,Saline,C/S
1.696407879,0.156913866,0.599459251,0.193124759,0.902573847,1.159038239,2.485901893,0.479818463,0.286577993,0.321299015,1.250993263,Control,Memantine,S/C
1.272115035,0.14652348,0.46814707,0.155260284,0.489072257,1.01510739,2.273571169,0.370950127,0.675512935,0.674397859,1.833407672,Ts65Dn,Saline,C/S
2.046849427,0.162234043,0.537898936,0.23537234,0.760922787,1.29705401,2.372033552,0.497238134,0.642843691,0.743408663,1.883804143,Control,Memantine,C/S
1.46743126,0.158947214,0.483531834,0.164167034,0.603413069,0.893250993,2.020952801,0.479782385,0.310822637,0.346266044,1.449387398,Control,Saline,C/S
1.131048617,0.110326768,0.386314471,0.107024935,0.496167508,0.839576455,1.511784128,0.306728908,0.318751168,0.483454851,1.355580482,Ts65Dn,Saline,C/S
1.650849702,0.166997719,0.521003458,0.141543441,0.597580746,0.984845141,2.406238505,0.554550136,0.400922808,0.627634368,1.391445317,Ts65Dn,Saline,C/S
1.786925966,0.178541137,0.519205138,0.175087847,0.612439628,1.066036593,2.269720102,0.55622198,0.318294263,0.366238662,1.342560961,Control,Saline,C/S
1.304857044,0.128315536,0.537891836,0.154150878,0.545009028,0.918704788,1.72993455,0.318980365,0.522568997,0.6327057,1.567191127,Ts65Dn,Memantine,C/S
1.288707636,0.142314724,0.415412741,0.154408663,0.41897903,0.611165799,1.792434257,0.422162846,0.343359458,0.381910612,1.219656852,Control,Memantine,C/S
1.72891802,0.155351203,0.562218744,0.199863041,0.766666667,1.036098611,2.02298963,0.397084719,0.316751269,0.413705584,1.349069374,Ts65Dn,Memantine,S/C
1.505255192,0.155721853,0.610106786,0.201799378,0.728076429,1.023963676,2.326074161,0.517951736,0.25780693,0.275488379,1.312419792,Control,Saline,S/C
1.759806122,0.168387039,0.609460551,0.212189211,0.897392114,1.086168208,2.63863208,0.522125482,0.228500466,0.287488358,1.132877988,Control,Saline,S/C
1.964493906,0.166534181,0.569356121,0.228139905,0.697285475,1.134340223,2.422032326,0.496422893,0.598481925,0.630001287,1.716583044,Control,Memantine,C/S
1.413293051,0.125317221,0.46429003,0.180906344,0.857560405,1.000120846,2.128821752,0.415951662,0.249610288,0.283125487,1.473109899,Control,Memantine,S/C
1.597112543,0.156097088,0.394554527,0.174991522,1.219274252,0.952909258,1.987209922,0.398866334,0.50948213,0.58980671,1.84928884,Control,Saline,C/S
1.746626064,0.179320368,0.561768981,0.209979929,0.971905675,1.024638383,2.592843795,0.522942764,0.247771635,0.31569446,1.229831885,Ts65Dn,Memantine,S/C
1.522930569,0.153059776,0.494391594,0.132329973,0.477655373,0.666335368,2.057787874,0.488428227,0.379546872,0.339014758,1.200997714,Control,Saline,C/S
1.473458292,0.144369724,0.535555874,0.169838317,0.409764919,0.767062527,1.881671198,0.319215911,0.210307414,0.235262206,0.782820976,Ts65Dn,Saline,S/C
1.806704708,0.158487874,0.731098431,0.179029957,0.502383384,0.892582026,2.364051355,0.460199715,0.228975145,0.196118488,0.974123255,Control,Saline,S/C
1.857732299,0.166859218,0.591186664,0.15679155,0.81805293,0.7747153,2.219673213,0.484568411,0.290879017,0.268903592,1.418241966,Ts65Dn,Memantine,S/C
1.783732496,0.159992148,0.514461458,0.148606203,0.65755988,1.200104698,2.229223924,0.389870436,0.41991018,0.576347305,1.703218563,Ts65Dn,Saline,C/S
1.414264435,0.154472969,0.431437834,0.168229212,0.80120365,0.757907649,1.844475598,0.35696136,0.224810716,0.286352165,1.262473306,Ts65Dn,Memantine,S/C
2.22832409,0.172325172,0.539091032,0.221155147,0.819901961,1.196266739,2.611592047,0.526376302,0.228431373,0.301764706,1.001764706,Control,Saline,C/S
2.586215947,0.17983308,0.56416986,0.255997061,0.979551287,1.426224345,2.465277413,0.55724109,0.270138256,0.360046361,1.164914314,Control,Saline,C/S
1.771548284,0.160015962,0.601755786,0.154030327,0.51745283,1.003192338,2.306863528,0.433559457,0.373349057,0.418160377,1.211320755,Ts65Dn,Memantine,C/S
1.70785033,0.159354365,0.588554659,0.189581805,0.659295261,0.868965517,1.880410858,0.377842993,0.316160389,0.362089915,1.455893074,Ts65Dn,Memantine,S/C
1.651472446,0.157449704,0.521430654,0.210030129,0.973929893,1.06366022,2.549907668,0.432695111,0.368680641,0.399506782,1.427866831,Ts65Dn,Memantine,S/C
1.592678406,0.164305574,0.615781809,0.224943731,0.815183009,1.110353502,2.372831987,0.605388587,0.256439223,0.301626751,1.327835517,Control,Saline,S/C
